"","YEAR","Immature","Mature","pop"
"1",1988,2.64922165491762,2.30053445403055,2.53889718442848
"2",1989,2.7569091707236,2.55118302766268,2.69560719385253
"3",1990,2.85548454111385,3.22523751723936,3.02165855475665
"4",1991,3.08964329782108,3.15064464892855,3.11766482829734
"5",1992,2.61736980322034,2.19614600869465,2.36210758144727
"6",1993,3.45704226115432,3.18359647367754,3.29636415843953
"7",1994,2.81852236750905,2.47908022839476,2.5955042979469
"8",1995,2.40510344715204,1.84759005233368,2.02838029647873
"9",1996,3.22862345806339,2.94959972576327,3.07975785024821
"10",1997,2.85519830873346,2.61564703238791,2.81600122220864
"11",1998,3.56191236462338,3.58866113421468,3.56763536820881
"12",1999,2.36017332552299,1.98592459727084,2.30920657572814
"13",2000,2.85321973493504,2.60026433318356,2.80372698118253
"14",2001,3.62456118943724,3.63913280040409,3.62580082086598
"15",2002,3.45972365784675,3.67336846611424,3.48871249745484
"16",2003,4.34794426796842,4.39946031665888,4.35743547309791
"17",2004,3.4399508135006,3.9542360555972,3.50931036518071
"18",2005,3.46249810814838,4.23128626609507,3.64676059665447
"19",2006,1.95911111086022,3.16174182310382,2.29336955647242
"20",2007,1.39012113573658,2.28658759280533,1.66558731221107
"21",2008,1.83074568576841,2.28098254628773,2.06823869667313
"22",2009,2.01085241154082,2.27407586335949,2.09721964916183
"23",2010,1.37595337897113,2.26350764028109,1.63460040107116
"24",2011,2.32874406687561,3.29899842577027,2.46406660565349
"25",2012,0.232514129911067,0.720805246597163,0.309194784769977
"26",2013,1.4248552669111,1.17821892593432,1.33377430292042
"27",2014,3.00496173764482,3.5577616698433,3.23924112037024
"28",2015,4.11109298674757,4.17504222285793,4.14691932467256
"29",2016,4.53186432591406,4.74176497138767,4.65168153084939
"30",2017,3.56471560545913,3.01342518574963,3.3560635231002
"31",2018,4.07032168472292,4.3953236951448,4.14383600119885
"32",2019,4.27651728287459,4.4790059847235,4.30602338826279
"33",2021,3.83546889994815,3.8685677584395,3.84246387729995
"34",2022,2.83324316673741,2.86045078899732,2.83860958007637
"35",2023,3.19079883707121,3.13994429463572,3.18462964079571
"36",2024,2.86095620797901,3.04794871495241,2.89650909437743
