"","YEAR","immature_female","immature_male","mature_female","mature_male","pop"
"1",1988,42105,51328,29674,31679,52130
"2",1989,32481,42506,38095,32882,47719
"3",1990,39298,52932,31679,36090,51729
"4",1991,35689,50927,28872,37694,50526
"5",1992,24461,44511,29273,35689,47318
"6",1993,22456,43709,33684,44511,52531
"7",1994,20451,40501,25263,42907,47318
"8",1995,30075,38095,20451,34486,43709
"9",1996,26065,37694,24060,28872,38496
"10",1997,24060,42105,28471,20050,40902
"11",1998,32882,40501,25664,39699,44912
"12",1999,28471,33283,25263,26065,35689
"13",2000,29273,42105,20451,30075,41704
"14",2001,22857,34486,25263,32481,33283
"15",2002,24461,34486,22456,34887,35689
"16",2003,27268,37293,23258,34085,37694
"17",2004,32080,46917,26867,38496,47719
"18",2005,34887,42105,20451,45313,47318
"19",2006,40100,47719,32882,48120,51328
"20",2007,34486,50526,36892,40902,52932
"21",2008,33684,54937,30476,47318,55739
"22",2009,33684,51729,27669,38496,49724
"23",2010,39699,48922,27268,40902,50125
"24",2011,35689,39699,30877,32882,41704
"25",2012,34486,34486,28070,31679,40100
"26",2013,32481,37293,26466,27268,40100
"27",2014,31679,49323,26065,38095,49724
"28",2015,27268,53333,18446,49323,55338
"29",2016,22456,51328,16842,52130,58947
"30",2017,22857,48120,23659,43709,50125
"31",2018,37293,41704,24060,46516,48922
"32",2019,32080,41704,21654,37694,42105
"33",2021,38095,46516,31679,40902,47719
"34",2022,29273,43709,32481,44511,46115
"35",2023,35689,39298,29674,54135,43709
"36",2024,35689,40902,31679,53333,44912
