"","YEAR","Lat_COD_immature_female","Lat_COD_immature_male","Lat_COD_mature_female","Lat_COD_mature_male","Lat_COD_pop","Lon_COD_immature_female","Lon_COD_immature_male","Lon_COD_mature_female","Lon_COD_mature_male","Lon_COD_pop"
"1",1988,56.9987758365036,57.1107381119937,57.0678325490344,57.2214061182897,57.0936926796117,-168.433922043769,-167.674454598798,-164.974422946983,-164.455605266811,-166.863766481704
"2",1989,56.3820858732191,56.5810156249146,56.8219661435224,57.238863822453,56.6669059433739,-166.50181548352,-166.847028537786,-166.441707314156,-164.909719010923,-166.343205248562
"3",1990,56.8770582396283,56.828452560376,56.5989290160601,56.9247684916373,56.7889489336011,-167.319466176597,-167.198516141353,-167.594364740683,-166.243610583388,-167.186288504535
"4",1991,56.5424087702161,56.8378872390104,56.4708011360795,56.5729486165692,56.6434442635834,-167.419333630353,-167.503570688414,-167.100305491163,-165.657899714481,-167.113884169674
"5",1992,57.3192105272418,57.2484833812637,56.8105666071971,56.4183717084222,56.8617942143117,-171.215564653075,-169.420542900416,-168.45911466058,-165.32330705628,-168.027032973529
"6",1993,56.836752313809,56.9736984801567,56.5754190731998,56.6049918856648,56.7278143353972,-170.528880188411,-169.205899682636,-167.758094640879,-164.760137202018,-167.398038080451
"7",1994,56.5741835954484,57.1771320615761,56.6400143767705,56.8005512892122,56.8009277999868,-169.659093000053,-170.324242460232,-167.539780375927,-165.945980348062,-167.98492881881
"8",1995,57.3816675376521,57.4466744441312,56.4453518262636,56.6353265332499,56.8079731047462,-170.336253398078,-170.554713412315,-167.404732435537,-166.334868812619,-168.087467976504
"9",1996,56.7593977965934,56.9242769428581,56.576988468895,56.4984982506501,56.6975658558907,-167.2382052813,-167.418905782149,-166.529660665238,-165.662205559764,-166.742728458427
"10",1997,56.3234474593867,56.608665085556,56.496032391476,56.3855913381355,56.4812035559912,-166.910044641281,-167.203457001324,-166.577038781243,-164.396027574879,-166.914408756018
"11",1998,56.8361140316986,56.8739896994912,56.3415073364165,56.8251535152493,56.8095874089366,-169.243707095826,-168.757716044859,-166.947312889204,-166.628942209972,-168.507125205226
"12",1999,56.5346556609646,56.5071317357632,56.1566167783988,56.3161769043616,56.4793578799728,-168.758624939198,-167.809206342992,-166.622914851157,-165.053953468945,-167.922924705934
"13",2000,56.8641234188915,56.8899795480223,55.9980455057357,56.1966469070419,56.7182800384883,-169.1409045754,-168.657476091321,-165.913402644494,-164.944234339382,-168.147710508067
"14",2001,56.2028768704606,56.3588533015629,56.0768076019399,56.1617543810676,56.2696901715415,-167.398870344059,-167.553544532503,-167.272647326297,-165.215555083687,-167.377427744113
"15",2002,56.4845981723952,56.7232527835041,56.2179011100409,56.2557403271985,56.5593496927708,-168.242640469809,-168.341261924338,-167.552694264888,-165.918909154082,-168.08091837991
"16",2003,57.1497142443025,56.8893027468501,56.294845245329,56.1592326117964,56.8293659068507,-170.350196151584,-169.304908874283,-167.953237846807,-165.902761890701,-169.179031350019
"17",2004,57.6956141725626,57.4894396235215,56.5586039045187,56.5949925955679,57.4253872528166,-171.041209781723,-170.438026233581,-168.596523123105,-167.163428721756,-170.258839631041
"18",2005,57.4826761877582,57.5620345015929,56.6087714299196,56.6971797572064,57.3097298767171,-169.627668919168,-169.881264014295,-169.031329363733,-167.534095318895,-169.393222927691
"19",2006,57.3844538979022,57.2118110735474,56.6012139027353,56.4761270634518,57.0977905386348,-169.356040335598,-168.748789568433,-168.595767475724,-167.194607334697,-168.726107561027
"20",2007,57.6730768493802,57.7151132095877,56.3596580661557,56.6855994633975,57.363059949373,-169.966900297739,-169.046895765523,-167.766371916902,-167.693905014095,-168.835893623026
"21",2008,57.2957410322305,57.2098750787324,56.2932668901903,56.5308585896345,56.8238702041202,-169.929655778282,-169.029791175862,-167.814874159327,-167.089708109082,-168.296624908976
"22",2009,56.71849602479,56.9290719414206,56.2122864778607,56.4944852346374,56.6877316092536,-169.015103306813,-168.848137794231,-167.450378878317,-167.452916682191,-168.459883395624
"23",2010,57.0721300980427,57.1228515462513,56.1956266403762,56.5935141017993,56.9139107232332,-168.966118789752,-168.720603005725,-167.638487692944,-167.822752256842,-168.519201472116
"24",2011,57.1086895888021,57.0461605562807,56.6320761947527,56.5028484213994,57.00041129953,-167.882774744447,-167.446511351984,-167.872229394646,-167.783530308886,-167.661570206083
"25",2012,57.1359976456711,57.1458800954744,56.6540732589993,56.4386017712062,57.040799056291,-167.586066338232,-166.921536840198,-165.716966392564,-165.858702400699,-166.885548038171
"26",2013,56.7190718938309,56.9461502467963,56.8221389041258,56.748142620195,56.8336125160896,-168.110700446879,-167.718549293415,-166.146033128721,-165.263182844175,-166.98920519447
"27",2014,57.475099358952,57.2885680047095,56.8091137448476,56.8326577756668,57.1275689391325,-169.078829151767,-168.064507189988,-167.840497029008,-165.765750789629,-167.63115590048
"28",2015,56.5302110049943,56.8812451851269,56.721250064083,57.0381153758936,56.8365739631648,-168.452181841667,-168.132238638038,-168.451333991433,-166.241130480751,-167.676847866326
