Year,SAM_pop,StdError_pop,SAM_E166,StdError_E166,SAM_W166,StdError_W166
1990,111.1552041,0.795789912,116.5601248,0.932950417,97.6802849,0.891971109
1991,118.5809144,1.720123974,125.5458822,0.784876155,105.4288562,2.290270867
1992,105.5606888,0.633079804,121.0927304,1.860416477,104.4716415,0.477823705
1993,102.5603776,2.100688217,126.1103557,0.890098469,93.17581056,1.405782576
1994,97.06715962,1.305438765,94.40856173,3.082058588,95.37367635,1.799957421
1995,96.4670873,0.995566734,106.6119972,0.967453684,92.91464555,0.933269377
1996,104.7065366,7.213496409,114.9897443,7.544662076,96.2661662,1.449206691
1997,129.5124414,11.92923964,131.5460809,11.95128682,110.7585116,1.15587923
1998,99.93396351,0.705579864,103.5749412,1.162775162,97.40561499,0.757383285
1999,109.1921911,0.929005175,112.9150606,0.962051787,97.63086919,1.509138804
2000,107.515535,1.518624763,113.118972,2.405104789,101.6194659,0.434055924
2001,109.3148719,1.035671293,117.3513051,1.258903615,103.6160895,1.05416885
2002,102.8829537,7.445503582,114.6468211,9.283878969,99.63437608,0.673804244
2003,105.9087102,7.699460437,120.4093296,7.671239724,96.46046747,0.655903875
2004,107.5452434,2.078209426,99.15924021,1.398847327,109.0802454,2.287680247
2005,96.91594693,1.06174443,97.33291852,2.149671125,96.83344377,0.781728405
2006,103.2482989,0.866410012,103.6792515,1.370586928,102.8459102,1.097511854
2007,105.9685401,1.986660732,111.998855,1.245793323,100.9162875,2.377380416
2008,98.34205993,1.205822688,102.2466858,2.231213441,96.7449712,0.961326234
2009,107.4752027,1.461499541,105.4810062,1.636136779,113.4814054,0.677054212
2010,97.90688152,1.587313591,111.8049974,3.917643276,95.27338624,0.978080644
2011,107.5710101,2.349668092,140.258621,11.29575439,104.9036193,2.25631212
2012,111.8884066,1.199895126,120.2948478,8.502501494,106.8267833,0.773442654
2014,105.2876988,1.206954894,111.6515633,2.271021846,100.4039682,0.911583583
2016,98.87759653,1.935804611,107.9408268,0.432258101,88.97319482,3.091104626
2017,103.480482,1.09798548,123.0356567,7.894514283,96.90339596,0.899501878
2018,93.45213281,0.954889128,120.3732384,13.32186889,91.50070458,0.884610535
2019,112.2400895,13.82139886,136.822121,10.69520701,91.07695146,0.500522344
2021,104.650549,0.546015476,110.5356673,0.579211148,100.5265231,0.847046985
2022,103.9567647,1.092527148,106.7694196,1.079237816,100.1350307,1.54860338
2023,94.89157108,0.77417271,101.3305293,1.568798806,93.67724993,0.811322061
2024,101.5915818,0.295649865,101.1867891,0.881881867,100.4060123,0.24312553
