"","GIS_STATION","LATITUDE","LONGITUDE","AVG_CPUE"
"1","D-04",56.03235,-165.7912,7454.27820513826
"2","E-07",56.36464,-163.97142,7694.08215089966
"3","J-01",57.97731,-167.797,7382.63924525249
"4","H-24",57.35342,-172.11962,4708.59185701289
"5","F-06",56.64288,-164.62587,8150.75755656159
"6","H-19",57.34728,-168.97741,7020.26622496967
"7","H-04",57.35931,-165.86777,2031.20709399058
"8","G-19",57.00297,-168.94852,3154.5175754475
"9","N-29",59.30857,-175.75239,2753.68268946439
"10","H-06",57.29902,-164.62833,4540.56529587311
"11","C-04",55.69082,-165.79631,15761.7723320333
"12","E-20",56.36952,-169.46038,8057.32113905607
"13","K-27",58.3237,-174.29155,6395.32279502159
"14","D-03",56.00828,-166.4145,6447.23589980057
"15","D-05",55.99668,-165.18011,5962.64644273699
"16","K-18",58.29667,-168.45723,3296.47255148201
"17","F-03",56.66649,-166.44384,8447.01188126873
"18","G-01",56.9715,-167.70558,8286.72569449011
"19","IH2221",57.47854,-170.58083,3754.60041076962
"20","A-02",55.00571,-166.88314,26590.3192048608
"21","N-30",59.33278,-176.36145,5287.57696911983
"22","F-05",56.65299,-165.21419,9799.7889969602
"23","F-23",56.67532,-171.35466,4560.85364077374
"24","C-05",55.64004,-165.17709,7902.34881817822
"25","B-07",55.35491,-164.00852,2052.94596566425
"26","H-26",57.32545,-173.32167,5297.39593790813
"27","H-09",57.32417,-162.77913,3304.14832638292
"28","H-21",57.32128,-170.24634,2749.40005756018
"29","M-29",58.97844,-175.72037,3827.76779454118
"30","N-25",59.31328,-173.14943,2119.68355459188
"31","C-06",55.66898,-164.54634,8672.86594591996
"32","I-06",57.64288,-164.60149,3157.8169675466
"33","B-08",55.34662,-163.4174,26803.3325989182
"34","L-20",58.68054,-169.79212,6725.83582187599
"35","H-05",57.30736,-165.23705,3608.44259364415
"36","E-04",56.34513,-165.80052,4998.48199248504
"37","B-03",55.35272,-166.38837,11370.6182886977
"38","F-11",56.66963,-161.5357,3686.22406517107
"39","G-09",56.96768,-162.78659,3054.25306013274
"40","L-28",58.75863,-174.92846,5262.68347684149
"41","A-04",55.01646,-165.75116,13502.9963672774
"42","J-25",58.00612,-172.82052,4777.00974997435
"43","J-03",58.02069,-166.53482,2535.94600826525
"44","C-08",55.67972,-163.40552,10764.0051762742
"45","N-28",59.34938,-175.09002,2970.9404997739
"46","B-05",55.30816,-165.17134,5409.22619434784
"47","M-26",58.96788,-173.70682,8855.97938194822
"48","E-19",56.34225,-168.86103,15049.7543347281
"49","G-10",56.97842,-162.16664,3935.13102533591
"50","E-05",56.31655,-165.19408,9274.31244712968
"51","B-06",55.35769,-164.53622,12131.706226727
"52","K-26",58.31939,-173.55671,3766.72939886859
"53","IH2120",57.48555,-169.92693,10802.8270927887
"54","H-11",57.35824,-161.54846,2857.53831291033
"55","L-21",58.65614,-170.41127,2897.68429520281
